評価対象チーム番号,評価項目：没入感・臨場感,評価項目：一体感・同期の心地よさ,評価項目：演出の華やかさ,評価項目：楽しさ・高揚感,システム全体に対するご意見・ご感想（任意）
12,5,5,5,5,
25,6,5,6,5,立体の青色LEDいいね
12,5,4,7,6,
25,5,5,6,7,紙を翳すとテンポが変わるシステムは斬新で楽しいと感じました
12,6,6,5,5,
25,4,4,6,5,
25,3,3,5,5,流れてる音で光るLEDを変える工夫が見栄え良かった
25,4,6,5,5,
25,3,5,6,4,立方に広がるLEDによる演出がエンタメ性を上げていた。
25,3,3,5,5,
24,4,3,4,4,
25,5,5,3,3,テンポの幅がもう少し欲しかった
12,5,6,5,3,"3dプリンター頼りに感じた
くまちゃんのいろは揃えて欲しかった"
25,4,5,4,5,
24,5,4,6,6,
12,6,6,6,7,
24,5,6,5,5,
12,6,7,7,6,
12,5,5,7,6,
24,3,5,2,4,
16,4,3,3,3,
24,4,3,5,6,
24,5,6,6,5,
12,6,5,7,6,
16,3,4,3,3,
12,5,7,7,6,
12,5,6,6,6,
12,7,7,7,7,
16,3,4,3,4,
12,7,6,7,7,実際にくまが演奏しているみたいだった
12,6,6,7,6,
24,4,4,3,3,
12,5,6,7,6,
12,7,7,7,7,見た目がまずすごく華やかでエンターテインメント性が強烈でした
12,6,6,7,6,
24,5,7,6,6,
24,5,6,6,6,ドレミファソラシドをLEDの光で表現できており、華やかでした
24,6,5,5,6,
12,5,5,7,5,エンタメ性はとても高くて楽しさを感じた。楽曲そのものを変えてみたらもっと面白そう。
16,3,3,2,3,
16,2,4,2,2,
16,3,4,3,3,
25,3,5,5,5,
12,7,7,7,7,クマさんおもろい。
12,4,3,5,5,熊の人形の手の動きを連動させていて、発想と技術に感心した
24,4,6,5,5,配線を隠せるといいとおもった
1,4,4,5,5,
1,5,5,3,3,
12,2,3,7,6,
1,5,6,5,5,
12,7,7,7,7,分かりやすく面白くて素晴らしいと思いました
25,5,5,6,4,
12,5,4,7,7,熊の人形が動くのが演奏感が出ていて良かった
25,5,5,6,4,
12,6,6,7,6,
1,5,3,3,5,箱の中が見える、または箱の中と同じ状況を隣に置くなどして、何が起こっているのか分かるようにしたら面白そう。
12,6,6,7,7,熊が実際に楽器を演奏しているのが視覚的に楽しむことができた
12,7,7,7,7,
16,5,5,6,5,
1,4,5,6,5,光センサの使用方法が画期的だった。
25,5,6,6,6,
1,4,5,4,4,
25,6,6,6,6,
1,6,6,6,6,
25,3,3,6,5,
25,5,5,6,6,
25,3,3,5,4,
25,5,5,6,5,
25,5,3,5,5,やや華やかではあるが曲と動作の連動がわかりずらい
1,5,6,5,6,光の同期方法でも、私のチームと異なるアプローチでおこなっており新鮮でした
12,7,6,5,6,
29,6,6,6,6,
12,5,4,6,6,
1,3,3,4,4,
12,6,6,7,6,
16,6,5,2,4,
1,3,3,5,4,カエルの指揮者が可愛かったです
1,2,3,5,3,
16,2,3,2,2,
12,7,6,6,7,
12,6,6,6,7,
16,4,6,3,4,
16,3,5,2,3,
16,3,4,2,4,
16,5,5,5,5,
1,4,6,4,4,
16,2,4,2,2,
24,6,5,5,6,
1,4,4,5,4,
24,4,3,4,3,
12,7,7,7,7,とても独自性があり、音楽のりんしょうも上手くいっていてとても良かった！
12,7,7,7,7,
24,3,4,5,5,
12,7,7,7,7,
16,3,2,2,2,
16,3,6,3,5,
24,5,5,5,5,
24,5,7,6,6,
24,5,7,5,5,
14,3,3,4,4,
24,5,6,5,5,
12,7,5,7,6,
14,5,4,6,5,
14,3,3,3,4,
14,5,2,6,4,手をかざすという操作方法が、魔法使いみたいでかっこいいです
19,4,5,6,3,
24,5,5,6,5,演出が華やかだと感じました
14,6,5,5,7,
14,7,5,6,7,
16,4,4,4,5,できれば演奏途中に可変できるともっと楽しくなるかもです
14,7,7,7,7,
14,2,2,2,2,
14,5,5,5,6,
14,2,3,3,3,
14,5,6,5,6,
24,4,3,6,4,
14,5,5,6,5,
16,2,3,1,3,独自性を感じられなかった
24,5,5,5,5,
25,5,4,6,6,
14,6,5,6,6,
24,5,5,3,4,
24,6,6,6,4,
24,6,5,6,6,
14,5,4,5,4,
14,7,7,5,5,音が一番聞きやすい
14,6,7,5,7,距離センサを用いてテンポを調整しており、演奏と演出が一体化していて楽しかった。
14,5,5,5,5,
12,7,7,7,7,"演奏に合わせて動いており大変楽しいです
この部屋の中では最も華やかだと思います"
14,6,5,6,7,
16,2,5,2,3,視覚的楽しさが寂しいと感じました
24,4,5,5,3,こぢんまりしてて可愛かったです
14,5,5,6,7,距離センサを用いてテンポを変化させるとともにダンサーを回転させるアイデアが良かった
25,6,6,6,6,
25,5,6,7,5,
1,3,2,5,5,
24,3,5,3,3,
24,4,5,5,5,
14,6,6,6,6,動作が不安定なのがもったいないと思いました
25,3,6,3,3,
16,4,4,4,4,
25,5,5,5,4,
1,4,3,3,4,
16,2,2,1,4,
25,5,5,6,5,
16,2,3,1,3,
14,7,4,6,6,安定性さえどうにかなれば、最高のオーケストラになりそうです
1,5,3,4,5,
1,5,5,4,5,
19,4,4,3,3,
16,5,5,3,3,
16,2,2,2,2,
19,3,2,6,3,
14,5,4,6,6,
16,3,5,3,2,ただ音鳴らすだけに見えちゃいました
19,2,3,4,4,
16,2,3,3,4,
16,3,3,3,3,
16,3,3,1,3,
19,3,6,5,5,
16,3,5,2,3,ずれている感じはないが、いろいろな音が合わさっているような一体感がない
1,3,2,3,3,
1,4,5,4,4,
19,3,3,5,4,
19,5,6,7,6,
19,4,3,4,3,
19,3,3,4,4,
25,3,3,5,4,
1,3,3,5,5,
24,3,3,3,3,
14,3,5,5,4,
24,5,7,5,5,
19,4,7,6,5,
24,5,5,6,5,
1,4,5,4,5,
1,5,5,5,6,
24,5,3,7,7,
24,2,5,2,2,
14,4,6,3,5,指揮棒が動いていない。音がはっきりしている。
25,2,7,3,4,
19,5,4,4,5,
1,2,2,2,2,動作が安定しなくて残念でした。
1,3,1,5,3,
19,5,4,5,3,
19,5,7,4,4,
19,4,3,5,3,
19,3,4,6,5,
19,4,6,3,4,
19,3,5,5,3,
16,3,4,3,3,
24,5,6,3,4,
12,7,7,7,6,
19,4,5,5,5,
19,4,5,5,3,
14,5,5,5,4,
14,2,5,5,3,
14,4,6,4,3,
14,4,7,4,3,
19,5,6,5,6,
19,4,3,4,5,
14,4,5,5,5,
19,4,4,4,4,
24,3,6,3,3,
24,5,7,4,3,bit音ぽくて風情がある！
16,7,7,5,5,
16,5,6,4,5,
16,3,4,5,5,
24,5,7,5,5,
29,6,5,6,7,
16,2,3,2,4,
24,5,4,4,5,
16,7,5,5,5,
16,6,6,5,5,
24,5,6,5,5,かえるの顔が潰れてた！
24,5,7,5,6,同期方法の独自性を答えられたら最高です。
29,6,6,3,6,
16,2,4,2,2,
29,4,5,5,4,
25,5,3,4,4,
25,2,2,3,2,
25,3,6,4,4,
29,5,5,4,5,
29,7,7,5,5,
24,5,4,4,2,
29,5,5,4,6,
24,6,6,6,6,
25,5,6,6,4,
25,3,3,5,3,
25,5,5,4,4,音が綺麗！
25,3,3,6,3,
25,4,6,6,4,
25,2,5,3,5,
25,4,5,4,4,
24,4,5,5,5,
16,5,7,3,3,
25,4,4,6,5,
24,5,5,3,4,
25,6,7,6,6,LEDキューブが楽器に応じて光るのがとても没入感があった。
25,5,4,2,3,
16,3,5,2,2,
16,5,5,4,4,楽器の音が良い！
32,4,4,3,4,
16,6,6,6,5,光センサーで楽器が鳴るようにしているのがすごいと思った
34,7,5,7,7,
25,1,1,3,2,ドラムの音があまりよくなく全体的に同期感を感じなかった
26,5,6,3,6,
34,7,4,6,7,
26,7,7,4,7,
25,2,3,3,2,
34,6,5,5,6,
34,5,5,6,6,
16,3,5,4,4,
34,7,6,5,7,
32,4,5,4,4,
34,6,6,7,6,
29,6,6,6,6,
16,2,6,1,1,エンタメがわからなかった
29,5,7,4,7,
29,6,7,7,7,指揮棒と機械を持つことできるとなお面白い！あと、残りの演奏時間がわかると、もうそろそろ終わるから早くしよーとか思えると思いました！すごいいいです！
29,6,7,6,5,演奏が綺麗！
19,4,5,2,3,
25,5,4,4,4,
19,7,6,7,7,
12,5,6,5,6,
29,6,6,7,7,
19,6,6,6,5,
29,5,6,6,7,
25,5,3,5,5,
19,6,6,7,6,
19,6,6,7,6,
19,6,5,6,6,
29,5,5,3,6,
34,7,7,6,7,
19,5,5,5,4,
19,5,5,5,5,
16,2,6,2,2,
34,6,5,6,7,
25,6,7,7,6,
16,5,5,3,3,
34,7,7,7,7,
24,6,6,3,7,
19,6,3,5,4,
16,3,3,4,3,鉄琴のヘルツが違うのか音に違和感を感じた
34,4,5,7,7,指揮棒が凄い
19,5,6,7,5,指揮者が指揮しているのが特徴的
19,6,6,3,5,
25,6,4,3,4,
19,5,5,5,4,
26,4,4,3,5,
34,3,5,7,6,
19,4,5,6,5,
29,4,5,4,5,
34,6,7,7,7,
34,5,4,6,7,
34,3,5,6,7,
34,3,2,5,7,指揮棒がすごい
34,5,6,6,7,
34,6,7,6,7,遠くからでも反応していてすごかった
19,6,3,6,5,指揮者のテンポが曲と若干ずれていた
19,6,5,5,6,指揮棒が同期とずれていて違和感を感じた。それ以外は完璧だと感じた
34,7,6,6,7,
29,7,6,6,7,
25,3,2,4,4,
29,4,3,3,6,
34,6,6,5,6,
34,5,4,6,7,
19,6,5,6,6,音程の推移が綺麗！
19,5,3,5,5,
19,4,6,4,5,
26,2,2,4,5,
25,4,5,5,4,
34,7,5,4,7,どれだけ離れても指揮が自分でできるのがすごく没入感がありました。華やかだとより没入感があっていいなと思いました。
19,6,4,4,3,
19,5,4,5,4,
34,6,6,6,6,
25,7,7,7,6,
34,3,2,3,6,
32,4,5,4,3,
29,6,6,5,6,
26,5,4,4,5,
29,4,6,4,6,
24,5,6,4,5,
24,5,6,5,5,音階ごとにLEDの音が変わっていてすごかった
24,5,6,5,5,
24,5,4,5,5,
24,6,6,6,6,
32,1,2,1,1,
24,6,7,7,6,音階で光るところやarduinoで文字として映してあってとても一体感があった
16,4,4,3,3,
24,5,5,5,3,
19,6,6,7,6,
16,3,6,2,2,
19,5,5,6,5,
26,5,5,7,4,なんか凄い感はある！しっかり動くとよかったかもしれない！
16,5,7,1,3,
16,2,6,1,2,
25,4,5,6,4,
26,6,6,4,6,
26,3,6,2,3,
29,5,6,5,3,
26,6,7,5,5,
26,4,4,5,5,
26,4,6,5,4,
29,6,6,4,6,指揮棒がややズレてるように感じる
26,6,6,5,5,
29,6,6,6,7,
34,7,6,5,7,
29,5,6,6,6,演奏楽器の順番を変えることができることがとても独創性があっていいなと思いました
1,2,3,3,3,
34,7,7,6,7,
32,3,2,5,5,
26,5,5,4,4,
32,3,4,5,4,
26,5,3,3,5,
26,5,6,6,5,
26,3,5,2,6,スマホ機能はすごい
26,4,6,2,5,
26,5,7,5,6,
32,3,3,3,4,音があまり聞こえず動きしか見れなかったのですが、タイミングを可視化できるのはとても独創性があっていいなと思いました。
1,4,3,5,4,
29,6,5,4,5,
19,6,6,6,7,
19,3,6,3,5,
1,1,1,2,1,
14,6,5,5,7,
34,7,7,7,7,
14,6,5,5,4,
14,3,3,3,5,
1,4,4,4,5,
14,5,4,5,4,
1,6,5,4,7,演奏中にBPMを可変させることで、リアクションを変化できることが非常に良いと感じた
1,3,5,4,3,楽器がひとつ動いてなかった
1,5,5,6,7,
14,5,6,4,5,
29,5,4,4,5,
1,5,5,5,5,
1,5,4,4,4,
14,6,5,4,2,
29,5,7,7,5,
26,5,4,5,4,
1,3,5,2,5,
1,5,3,5,4,
14,6,7,5,7,距離センサは見たとおりですごいと思った思った。それ以外ではドラムの音が良い。
1,6,5,5,5,
29,3,6,4,4,音のはじめ方が面白い
12,6,7,6,5,
29,3,5,5,3,見た目は簡素だが音や機能はいい
1,3,5,3,5,
32,3,5,3,4,
32,3,1,2,2,
32,2,3,4,2,
1,5,4,5,4,
1,4,4,6,5,
14,4,5,5,5,
14,6,6,7,7,
1,3,3,4,2,
12,7,5,7,6,
1,4,4,4,4,
1,4,4,3,3,
12,5,5,7,5,クマがすごい
34,6,5,5,5,
14,5,7,6,7,
12,6,4,7,6,
14,6,6,7,7,超音波センサーでBPMの可変を行うという点が変化を目視で視認でき、非常に良いアイデアであると感じた
14,5,4,5,7,
12,7,7,7,7,
1,3,3,5,3,音が聞き取りづらかった
14,6,6,6,5,
12,7,7,7,6,
34,6,7,4,5,よかった
14,5,6,5,6,
1,2,2,2,1,
14,5,5,6,6,
14,7,6,6,7,
14,5,4,5,6,距離によってバレリーナが動くのはライブ感や体験として面白そうだっが音がピアノとドラムしかよくわからなかった（パソコン自体のことが小さい可能性あり）指揮者はいなくていいのかな？
19,5,3,4,3,
14,4,6,4,6,
14,5,6,6,6,
26,2,2,3,2,
29,6,6,4,5,音が残念だけど没入感凄かった
34,7,3,7,7,若干指揮棒と遅延があるがそれを上回る快感があり感動した。
14,3,4,5,6,
14,6,5,6,6,赤外線距離センサによって距離によってテンポとLEDの色が変わる。分かりやすく、没入しやすい。1番目なので、評価は難しいが、良かったです。
1,5,5,6,6,
26,2,3,2,3,
26,4,3,5,3,動かないところがあった
14,5,6,6,7,
26,4,3,4,5,
12,6,7,7,6,しっかり音が鳴り終わると熊の動きが止まるのでしっかり同期が取れているし見た目はかなり華やか
29,7,6,6,7,
14,6,6,6,7,愉快
29,5,6,5,6,
24,5,7,5,6,特に楽器の音がよく出来ていた
29,6,6,5,7,楽器の変更システムがかなり面白いと思いました
26,5,7,6,7,
34,5,5,7,6,
12,3,4,3,3,
26,5,6,5,6,
26,6,5,6,6,
29,7,6,7,7,
34,6,6,6,7,
29,6,6,6,6,
14,6,3,6,4,演奏に躍動感があっていいと思った
29,3,3,3,5,
29,5,3,4,7,
26,3,4,5,4,見た目がそんなにだった
1,3,4,4,4,
34,4,5,5,7,指揮棒降るのが楽しい
29,6,6,6,7,演奏する順番を自分で変えることができて面白かった
12,5,5,7,6,
1,5,4,5,5,
19,4,4,5,5,エンタメ性が分からなかった
29,5,6,2,6,
26,2,5,2,2,
29,4,4,2,3,
29,5,4,3,4,仕組みがわからなかった
34,7,7,7,7,
32,3,2,3,3,
34,7,6,7,7,
12,7,7,7,7,熊が演奏する様子が非常に面白いと感じた
34,6,7,4,4,
12,6,5,5,5,3Dプリンターはズルだろ
29,5,3,6,6,
12,5,4,6,5,
12,4,4,7,6,
34,6,6,5,6,指揮棒を動かして演奏のテンポを変えることができて没入感があった
26,3,4,2,2,
1,4,4,4,5,
12,5,2,7,6,
1,5,4,5,4,システムとしてはサーバで指揮が動くのとLEDマトリクスだけで普通でした。音も普通でした
12,7,3,4,7,くまの人形がとても目立って楽しい
14,6,6,7,7,
14,6,6,6,7,
14,4,5,6,3,
34,7,6,6,7,
34,7,7,7,7,指揮棒の動きの変化によってBPMが可変することが没入感を高め、良い効果を与えていた
29,7,6,7,7,
1,5,3,5,5,
26,3,7,2,3,華やかではないが可視光は間違いなく難しいので評価したい。
19,2,2,2,2,
34,7,6,3,7,
34,6,6,6,6,
34,7,7,7,7,
26,4,5,4,4,
12,5,6,6,5,くま人形の動作が楽器によって違うのが、工夫されていていいと思った
34,6,4,6,6,指揮棒の体験はとても面白いと思います。
26,4,5,3,4,
14,7,6,7,7,
26,4,6,2,4,
19,5,5,7,6,
34,4,4,6,6,自分自身が指揮者になって体験ができるため見た目や楽しさはとてもいいと感じた。その分上手く演奏ができないと一体感や同期の心地よさはあまり感じれなかった
26,6,6,7,7,視覚効果が非常に良いと感じた
26,3,3,2,4,エンタメ性がわかりづらい
26,6,6,6,5,
1,5,3,4,5,聞こえなかった
29,7,6,7,7,
29,7,7,6,7,
26,4,4,4,4,
26,4,6,3,4,
34,7,5,6,7,
1,4,3,2,3,完全な状態でなかった。
26,6,6,5,5,
26,4,5,4,4,
26,3,5,3,4,
34,7,7,3,7,センサーの精度がすごい
34,4,5,7,7,
34,7,7,5,7,
34,5,4,4,7,
26,2,2,2,2,
26,3,2,2,2,ウェブで同期やら見た目の華やかさを補おうとしているらしいがそのウェブが上手く繋がらず見た目はただの通信をしているだけで特に面白くなかった
12,6,6,7,6,
34,7,6,5,7,
14,6,6,5,4,音が綺麗
34,7,6,5,6,めっちゃユニーク。体験型は全然思いつかなかった。
12,5,5,7,5,
1,5,4,5,3,
32,4,3,5,3,"おそらく不完全な状態である。
同期の方法がかなり独特に見える。
楽器の音が綺麗。"
32,5,5,5,4,
32,4,5,3,4,
32,4,3,4,3,
32,6,7,6,6,演奏の様子が見れて非常に賑やかであった
32,7,4,6,5,
32,3,3,5,3,
32,5,5,6,5,
32,4,6,5,5,
32,5,7,5,5,
32,5,5,5,5,素晴らしい
32,4,3,5,4,
32,3,3,4,3,
32,5,5,3,5,見た目の華やかさが欲しかった
32,7,7,4,5,
32,6,3,5,6,
26,3,5,3,3,
32,5,5,4,5,
14,6,6,6,7,
1,6,5,6,6,
32,5,5,4,3,
26,5,6,6,4,webで操作できるのを見たかった
32,6,5,6,5,
1,5,5,6,6,
32,2,2,2,3,
26,6,5,5,6,
32,4,5,6,4,システムが不完全ではあったが見た目はそれなりに良かったと思う。動きが一つだけではあったが
34,7,7,7,7,
1,5,6,5,7,
1,5,5,5,6,輪唱する順番をハードの方で選べるのが良かった。LEDマトリクスに歌詞を表示させる案は自分の班にも入れれそうだった音程バーと切り替えれたら面白そう
1,3,3,6,5,
25,5,5,6,6,
12,6,6,7,6,エンタメ性めっちゃいいね
29,3,5,6,6,
32,6,5,5,5,
26,5,4,4,4,時間内に動いているとこを見れなかったので、4にさせていただきました。平均点とか出す時はこれは出来れば抜いて欲しいです。
32,6,5,5,5,
29,4,4,4,4,時間内に動いているとこを見れなかったので、4にさせていただきました。平均点とか出す時はこれは出来れば抜いて欲しいです。
12,5,7,7,6,
26,5,4,5,5,
32,4,4,4,4,時間内に動いているとこを見れなかったので、4にさせていただきました。平均点とか出す時はこれは出来れば抜いて欲しいです。
14,6,5,6,6,
29,6,6,6,6,
19,6,5,6,6,歌詞表示ではなくて音程表示にしていたのは良い発想だと思います
32,5,3,5,5,
32,4,4,4,4,
32,3,5,4,5,
29,5,4,4,5,
