評価対象チーム番号,評価項目：没入感・臨場感,評価項目：一体感・同期の心地よさ,評価項目：演出の華やかさ,評価項目：楽しさ・高揚感,システム全体に対するご意見・ご感想（任意）
11,5,4,7,5,
11,7,3,7,6,モーターの音がうるさい
11,6,7,6,6,
11,7,7,7,7,
11,5,7,7,5,
11,6,6,7,6,
11,4,4,7,4,
11,5,6,6,6,モーターの音が大きくてノイズになっていた。
11,3,6,6,4,
11,5,6,5,5,
11,5,4,6,5,
11,6,6,5,4,
23,5,6,5,6,
11,5,5,7,7,"音が大きく、輪唱や音色がわかりやすかった。
クリスマスの雰囲気が再現されていて没入感があった"
23,6,5,4,6,
11,5,5,5,6,
23,7,6,6,6,bpm変更を指揮棒にしたことがよかった
23,7,6,7,7,
23,7,7,7,7,
23,7,7,5,7,
23,7,7,6,7,
23,7,7,7,7,
23,7,6,5,7,
21,5,5,6,5,
21,4,4,4,3,
23,7,7,6,7,
23,7,7,6,7,
21,4,4,5,6,
23,5,7,5,6,
23,4,6,4,6,
23,7,7,6,7,自分の動きでテンポなどを決められるので、没入感がダントツで高いなと感じました。
21,6,5,5,6,
21,5,4,5,5,
11,5,5,5,4,全体の一体感はあったもののサーボモータの駆動音が大きいと感じた
23,5,6,3,6,
21,4,4,3,5,
21,4,6,3,4,
11,5,5,6,5,
23,6,6,4,5,
21,7,7,7,7,
21,3,6,2,5,
21,4,4,4,3,
21,4,5,4,5,音ゲーならリズム良くボタンを押すことが必要なゲーム性にしてほしい
11,5,6,5,6,
6,4,4,6,5,
6,4,5,4,4,
6,7,7,5,5,
21,4,5,3,6,
6,5,5,7,4,
11,6,7,6,5,サンタクロースの動きが不安になる
11,6,4,7,6,
6,3,2,3,3,
13,7,7,7,7,
13,7,5,7,7,
13,5,4,6,5,
13,7,6,7,6,
13,6,5,7,6,
13,5,5,6,5,音量が大きければもっと没入感があるのかなと思いました
13,6,5,6,6,音質が大きければもっと良いと思った
6,3,3,6,4,
13,6,7,7,6,
13,7,5,5,5,
13,7,4,7,7,音が小さめだったので、同期がわかりづらかったです
13,3,4,6,5,
21,4,5,3,5,
21,4,4,7,7,
6,3,4,3,3,
13,7,6,7,7,演奏のテンポが一定であった
11,6,7,7,6,
13,7,7,7,7,
11,7,7,7,6,
11,5,6,5,5,
13,3,3,5,4,
8,5,6,4,4,
6,3,5,3,4,
8,4,4,3,3,
13,5,6,5,5,
21,5,4,4,5,
21,7,6,7,6,
17,5,5,6,5,
8,3,4,3,3,
6,6,6,6,6,
13,7,5,7,6,
6,5,6,5,6,
6,7,7,7,7,
23,6,6,4,5,
6,6,6,6,7,
13,3,6,6,5,
6,5,7,6,6,
6,5,5,5,6,
13,3,4,4,5,
13,6,5,7,6,
13,6,4,5,3,
13,5,5,6,6,
13,5,6,7,6,
13,6,5,7,6,
13,6,7,7,5,
8,4,5,3,3,エンタメ性は弱い印象
23,7,7,4,7,システムとしては
23,6,6,5,5,
23,6,7,6,7,
8,3,4,3,4,
23,5,6,5,5,
8,5,4,4,5,
8,3,5,4,3,
8,3,7,2,3,
8,7,7,7,7,
8,3,6,2,3,
8,3,4,3,3,
8,5,5,4,4,
8,4,5,3,4,
8,4,4,3,3,
8,3,3,4,4,
8,4,4,4,4,音が小さくてどのArduinoで出力してるかわからなかった
8,5,4,4,4,
17,6,6,6,6,
17,7,6,6,6,
17,5,6,7,5,
17,7,6,7,6,
23,5,5,5,5,
8,3,7,3,5,教室が明るかったからかもしれないのですが、エンターテイメント性が分かりづらかったです
23,6,7,5,7,
8,1,2,1,1,
17,7,6,6,6,
17,6,6,6,5,
17,5,4,6,5,
17,5,5,6,6,
17,6,6,7,7,
23,7,7,7,7,
13,6,6,6,4,
13,7,5,7,6,率直に面白い
13,5,5,6,5,
13,6,6,6,6,
13,6,6,6,6,
13,7,5,7,4,
13,6,7,6,5,
17,5,2,2,5,音が小さかった
17,6,6,6,7,
13,6,4,7,6,
17,5,5,6,5,動くの凄いけど、音量が少し小さく感じるかな
21,6,5,6,6,
21,5,4,5,6,
17,5,5,5,6,
17,3,7,6,5,音が少し小さい
21,6,6,5,7,
21,4,5,5,7,
21,5,6,6,5,
17,7,4,6,7,
17,5,5,6,6,
17,4,3,5,7,
35,6,5,6,7,
13,4,4,4,4,
13,7,7,7,7,
13,6,7,6,6,
35,5,4,6,7,
13,6,6,7,5,
17,7,6,7,7,
17,7,7,7,7,
13,6,7,7,7,
23,7,5,6,7,自分も指揮者の棒を振ることが出来てとても楽しかった。すげえ
23,5,5,5,6,
23,7,6,7,7,
35,5,5,5,4,
35,5,6,5,6,
35,5,6,6,5,
35,4,5,6,5,
23,7,6,7,7,
17,5,5,5,6,
35,4,6,5,5,
35,5,6,7,5,
17,6,3,6,7,
30,6,5,4,6,
30,5,5,5,6,
30,5,6,5,5,
23,6,4,7,5,
30,4,5,5,5,
30,7,7,6,7,
30,5,7,5,7,
30,3,5,4,5,
30,1,1,1,1,
28,6,7,7,6,
28,7,6,6,7,筋トレ最高やな
28,7,5,6,6,
28,7,6,3,6,
28,6,5,5,6,
28,5,5,7,7,ダンベルを上げる速さによってテンポが上がるという常人には到底思い付かないようなシステムが本当に面白くて好きです。
28,7,4,2,7,筋トレ演奏がすこい
30,1,6,3,1,
30,5,7,5,7,
28,6,6,6,7,脳筋演奏
28,5,5,5,7,
28,5,6,4,7,
17,6,5,6,6,
17,6,5,6,6,
13,6,7,7,6,
17,6,3,6,6,
13,6,6,6,5,輪唱がいい
21,5,3,3,6,
21,7,4,6,7,ゲームできて、速さも色々変更できるので対決もできる
17,6,6,5,7,
13,4,5,5,5,
23,5,5,4,6,
13,7,6,7,7,LEDが色々な形に光っていて見ていてとても楽しかった
30,6,5,7,5,
30,6,6,6,5,
21,5,3,3,6,
23,6,6,5,7,指揮者できる
21,6,7,6,7,ゲームとして、聞き手を楽しませる工夫が良かった
23,7,7,4,7,指揮者を体験できる楽しさがあった
23,5,7,4,5,
21,3,7,3,2,
28,5,6,5,7,
35,5,5,5,5,
30,7,7,7,6,
30,6,6,6,7,
30,7,6,7,6,
28,7,6,3,7,
30,6,6,7,7,振れば早くなるのすごい、かわいいですね
23,5,6,5,6,
28,7,6,6,7,
28,7,4,5,7,
28,6,4,5,5,
35,3,2,6,5,同期にかなり時間かかる
35,3,3,3,4,
23,6,5,7,7,
23,6,7,4,7,
23,6,5,5,6,
23,7,6,5,7,
23,7,4,4,7,
13,6,6,6,5,
17,7,6,7,7,
17,7,7,7,6,
17,6,5,6,5,
28,6,6,5,7,
28,5,6,1,5,
39,4,5,4,5,
28,7,7,4,7,
39,4,4,5,4,
35,5,6,6,6,
39,5,5,6,5,
28,7,7,6,7,筋トレが楽しくなるようなシステムでは
39,4,5,2,3,
39,4,4,4,4,
39,6,4,5,6,
39,4,4,4,4,
23,3,5,3,2,
39,6,5,6,5,
39,5,6,2,3,
39,6,6,6,6,
35,3,4,4,3,動物音楽隊たちのイラストはが内側に向いていて見えない時があったので、どの角度でも見えるようにしたほうがいいかもしれないです
30,7,6,6,5,
23,6,5,6,6,
21,5,5,5,7,
21,7,5,6,7,
21,7,5,5,7,ゲーム感覚で楽しめる
21,6,5,7,7,
17,5,6,5,4,
13,5,6,6,5,
23,6,7,4,5,
35,6,7,6,6,
23,6,6,2,5,
35,5,6,6,5,
35,6,6,6,6,同期がすこし時間がかかるかなって感じ
35,5,3,4,5,
35,5,6,5,6,
21,4,4,3,5,ゲームがおもしろかった
21,6,5,6,6,
30,5,7,6,6,
35,3,3,4,3,
30,5,5,6,6,
30,5,5,6,5,
35,5,3,3,4,
30,5,6,5,6,
39,2,4,4,3,
30,6,5,4,5,
39,5,5,3,4,
39,5,5,5,5,
39,2,5,3,3,
39,2,2,2,2,
39,3,3,4,2,
39,1,1,1,1,
39,2,2,2,2,
11,7,7,7,7,
11,5,6,6,6,
30,6,7,5,7,同期方法が面白い。
11,6,5,6,6,
11,5,6,3,5,
11,5,5,6,4,
6,5,5,5,5,
30,7,6,7,7,ちゃんと炎が燃え上がるのがすごいと思った
30,6,6,7,7,
28,6,6,6,7,
6,3,2,3,3,
28,7,7,6,7,
30,6,5,5,6,
30,6,7,5,7,
11,7,6,7,7,華やかで見ていてほっこりするような楽しさがあります。視覚演出が特に素晴らしいです。
6,5,5,4,5,
11,6,6,7,5,
30,5,3,5,6,
8,6,7,5,6,
8,5,6,2,5,自分で選択できるのがおもしろいと思った。
35,3,4,4,4,
11,6,6,6,6,
8,5,5,4,4,
35,6,3,6,6,
8,5,6,4,6,
6,7,6,6,6,
35,6,4,5,7,
11,3,5,6,3,
6,4,3,4,5,
8,5,4,4,3,
11,7,4,7,6,
8,6,5,5,5,
11,5,5,7,5,
11,3,4,7,4,
8,4,5,4,4,
11,6,6,7,7,
28,7,7,7,7,
11,7,6,7,6,
11,6,7,7,6,
6,6,7,5,6,カラーセンサーを用いてbpmを変化させるという工夫が面白い。デザインも凝っていた。
8,3,3,2,4,
11,7,7,7,6,
28,5,5,5,7,
28,7,7,5,7,
8,2,5,1,3,
30,6,6,7,7,
35,4,4,5,5,曲聴きたかった
28,6,6,6,7,
28,7,7,7,7,
28,7,7,4,7,
30,7,6,7,7,
28,6,5,2,6,
28,7,7,4,7,発想力に脱帽です
8,6,6,4,5,
35,7,7,7,7,
35,4,4,4,3,
11,6,6,5,5,
11,7,7,7,6,
6,5,6,5,4,
6,5,3,7,5,
8,5,6,3,6,
6,5,7,6,5,
11,7,7,7,7,
6,6,3,7,6,
6,3,3,5,4,
6,5,5,6,5,
30,6,7,5,7,
