評価対象チーム番号,評価項目：没入感・臨場感,評価項目：一体感・同期の心地よさ,評価項目：演出の華やかさ,評価項目：楽しさ・高揚感,システム全体に対するご意見・ご感想（任意）
36,5,7,5,6,
5,5,6,6,5,
15,6,7,6,7,
15,6,6,5,6,
15,5,5,4,4,
15,5,6,5,4,
20,5,6,5,6,
15,7,6,6,5,楽器の変更、音量の調整ができるのがすごいなと思った
15,6,7,7,6,
15,6,7,6,5,音のリズムに合わせてライトが光るのが良かった
20,5,4,6,5,
20,6,6,7,6,
20,6,7,7,7,
36,6,7,5,5,
15,6,7,6,7,
36,7,7,6,6,
36,4,4,3,5,
20,6,7,7,7,
36,5,5,5,6,
15,5,5,6,6,
15,5,5,6,6,
15,5,6,6,6,
15,5,6,6,6,
15,3,6,4,4,
5,3,6,4,5,
5,5,4,3,3,
5,6,6,5,6,
5,6,7,5,6,
5,5,6,5,6,
5,6,7,5,5,
5,4,6,5,5,
15,5,5,3,5,
36,7,7,7,7,
5,4,5,3,5,
36,7,7,7,7,
36,7,7,6,6,
36,5,6,5,4,
5,5,6,5,6,
36,6,6,6,6,
36,4,6,6,5,
15,5,5,5,5,
36,6,6,6,6,
36,3,5,5,6,
15,7,7,7,7,
36,7,6,5,7,
15,6,7,7,6,
20,5,2,4,5,
5,7,7,5,5,
5,6,7,5,7,
20,5,7,5,6,
20,5,3,4,5,
20,4,4,4,5,
5,6,7,5,7,
20,5,5,5,5,
20,3,5,4,5,
20,5,5,3,5,
5,5,4,2,4,bpmの変更が面白いなと思った
20,3,3,4,4,
20,5,4,5,6,
15,7,6,7,6,
15,5,5,7,6,
15,7,7,7,7,素晴らしい
15,4,5,5,4,
15,5,6,7,7,
15,6,6,7,7,
20,7,2,5,7,輪唱曲として同期がズレてるように感じるところがある。
20,5,6,3,5,
20,4,6,6,5,
20,5,5,5,6,
20,6,4,6,7,
36,7,7,6,6,
36,6,4,7,6,
36,6,6,5,7,
36,7,7,7,7,素晴らしいクラシック好きです
20,4,6,5,5,
